"partition","site","year","survey_count"
"global","35l45reua3h6",2002,74
"global","35l45reua3h6",2013,600
"global","35l45reua3h6",2003,343
"global","u5aqq75407q1",1991,150
"global","u5aqq75407q1",2015,0
"global","u5aqq75407q1",1981,170
"global","u5aqq75407q1",2002,143
"global","u5aqq75407q1",2003,36
"global","3vo02p9y9ffo",1991,20
"global","j102tfx4c9mo",1991,30
"global","r648fq8q089n",1976,100
"global","r648fq8q089n",2015,1632
"global","r648fq8q089n",1981,1010
"global","r648fq8q089n",1991,900
"global","r648fq8q089n",1998,150
"global","r648fq8q089n",2003,788
"global","r648fq8q089n",2002,1232
"global","r648fq8q089n",2013,1291
"global","ca91g2y2wwk6",1991,40
"global","53qv184358za",1976,500
"global","53qv184358za",2003,56
"global","53qv184358za",1991,350
"global","53qv184358za",2012,29
"global","53qv184358za",2015,462
"global","53qv184358za",1981,860
"global","53qv184358za",1998,250
"global","53qv184358za",2002,156
"global","5kc5x457o117",1992,1269
"global","5kc5x457o117",2015,3868
"global","5kc5x457o117",2013,2111
"global","5kc5x457o117",1981,1390
"global","5kc5x457o117",1998,1614
"global","5kc5x457o117",2003,2119
"global","5kc5x457o117",2000,1381
"global","wc6we80j6544",1998,419
"global","wc6we80j6544",1992,70
"global","wc6we80j6544",2000,355
"global","wc6we80j6544",2013,891
"global","wc6we80j6544",2003,422
"global","wc6we80j6544",2015,985
"global","8es4645kr4gr",2007,18
"global","8es4645kr4gr",1998,50
"global","em60bf5343m5",2005,3
"global","zls7397e8m8o",1998,26
"global","16r4i43f662z",2015,87
"global","3339g0472107",2013,1
"global","3339g0472107",2005,46
"global","2z5klzwk3k99",1974,100
"global","2z5klzwk3k99",2002,541
"global","2z5klzwk3k99",1992,275
"global","2z5klzwk3k99",2013,5
"global","2z5klzwk3k99",1998,280
"global","18dppfz2i120",1993,405
"global","18dppfz2i120",1998,489
"global","18dppfz2i120",2000,350
"global","18dppfz2i120",2012,893
"global","18dppfz2i120",1987,396
"global","18dppfz2i120",2003,548
"global","u68u42np4465",2015,15
"global","zcw4g21o36f9",2003,740
"global","zcw4g21o36f9",1992,33
"global","zcw4g21o36f9",1981,260
"global","zcw4g21o36f9",1998,100
"global","zcw4g21o36f9",2013,2161
"global","zcw4g21o36f9",2002,237
"global","zcw4g21o36f9",2015,1099
"global","xgub5puczime",2013,0
"global","xgub5puczime",1998,150
"global","0537rny37gz6",1996,1600
"global","0537rny37gz6",1989,2640
"global","0556un4m3g49",2012,10
"global","0556un4m3g49",2015,50
"global","22g8th7d50e8",1986,3400
"global","22g8th7d50e8",2002,2977
"global","22g8th7d50e8",1993,1750
"global","22g8th7d50e8",1998,3000
"global","22g8th7d50e8",2005,869
"global","22g8th7d50e8",2012,632
"global","51706ev253of",2012,152
"global","i2b9y2drxhm5",1993,368
"global","i2b9y2drxhm5",2001,457
"global","i2b9y2drxhm5",2007,153
"global","09g38vp0z2qb",1991,1404
"global","09g38vp0z2qb",2012,2062
"global","09g38vp0z2qb",1998,1250
"global","09g38vp0z2qb",2015,143
"global","09g38vp0z2qb",2004,318
"global","qkm6n7u8o41h",2015,185
"global","xj1r97odyg26",2011,100
"global","xj1r97odyg26",2000,4
"global","xj1r97odyg26",2001,548
"global","xj1r97odyg26",2014,314
"global","k9g932455y2g",2014,2
"global","41vh67u8385s",2014,28
"global","41vh67u8385s",2000,0
"global","d5760qivd98z",2000,0
"global","d5760qivd98z",2014,200
"global","8l160r6404m7",2012,1
"global","m50240h34uvz",1995,1500
"global","m50240h34uvz",2015,420
"global","m50240h34uvz",2011,780
"global","1ze1418x81ei",2011,15
"global","1ze1418x81ei",1993,425
"global","fhl9016ob03f",1993,3719
"global","fhl9016ob03f",2009,1426
"global","fhl9016ob03f",2015,1029
"global","3kxbnr33m7sc",2015,2737
"global","g984yu1j5zx5",2009,901
"global","vib7m5kh8y3x",2003,1354
"global","1dfcb7sbt3t0",2015,547
"global","1dfcb7sbt3t0",1991,773
"global","d90nxj74e72n",2013,118
"global","d90nxj74e72n",2003,178
"global","8115pqw0ogge",2011,1735
"global","8115pqw0ogge",2015,499
"global","57k7tjh3vl6x",1998,2178
"global","57k7tjh3vl6x",2005,2577
"global","57k7tjh3vl6x",2015,565
"global","4676n6ba3qxm",2013,10
"global","z8z1qpk0qk36",2012,5
"global","z8z1qpk0qk36",2002,63
"global","f725d6f62pzr",2011,1136
"global","f725d6f62pzr",2006,2694
"global","ttts416x5ioc",2008,73
"global","ttts416x5ioc",2012,104
"global","0821465515t8",2013,947
"global","0821465515t8",2005,772
"global","0821465515t8",2000,1000
"global","d3yx7bog6pa8",2015,1311
"global","3u3w2f883m45",2006,4895
"global","3u3w2f883m45",2011,4225
"global","31ns772n9co7",2011,58
"global","31ns772n9co7",2004,35
"global","0b3701448318",2007,6
"global","0l7fisr39q0b",2006,490
"global","jumbw071d31e",2011,279
"global","16zb00uelhio",2011,307
"global","16zb00uelhio",2006,1404
"global","nl1gn396xl3b",2005,340
"global","fl4q7a7y1651",2013,346
"global","31132j36z358",2003,380
"global","31132j36z358",2006,59
"global","q0cnnphn8ucw",1994,35
"global","q0cnnphn8ucw",2005,200
"global","1352q8810qw5",2014,4143
"global","1352q8810qw5",2007,15109
"global","891r763nq7xp",2006,2261
"global","891r763nq7xp",2001,431
"global","891r763nq7xp",2003,3032
"global","891r763nq7xp",2011,1902
"global","666622o5g4yx",2000,18222
"global","666622o5g4yx",2012,9292
"global","666622o5g4yx",2005,13545
"global","ch33895eoc06",2009,200
"global","t1gy3dr85r9m",2000,11
"global","t1gy3dr85r9m",1994,6
"global","1056xr4o5vx4",1987,60
"global","1056xr4o5vx4",2013,3
"global","1056xr4o5vx4",2003,65
"global","1056xr4o5vx4",1979,150
"global","ji7dh8f166ew",1993,35
"global","ji7dh8f166ew",2013,15
"global","6spks962dfbc",1989,5
"global","494hcl8rbg10",1976,1500
"global","494hcl8rbg10",2010,0
"global","494hcl8rbg10",1998,200
"global","494hcl8rbg10",2015,100
"global","494hcl8rbg10",2002,10
"global","494hcl8rbg10",1989,750
"global","r4216y035uqn",1989,20
"global","tbe46625pq0l",1989,30
"global","84uhn1sw2459",1989,15
"global","84uhn1sw2459",1997,6
"global","q6i3opp2o0lg",1991,150
"global","86nl4u660a0g",1989,20
"global","2l53f826lw93",2002,20
"global","2l53f826lw93",1996,20
"global","3466337108kw",1997,30
"global","nhn4k20y8685",1989,30
"global","cy2t2p5ku5y3",1991,70
"global","cy2t2p5ku5y3",2002,159
"global","cy2t2p5ku5y3",1979,150
"global","cy2t2p5ku5y3",2014,0
"global","k2hob96or1xd",1989,20
"global","k2hob96or1xd",2000,40
"global","c92t434xce75",1989,30
"global","c92t434xce75",2013,2
"global","c92t434xce75",2001,47
"global","ope75n9qdgc0",2015,20
"global","257u2d7rkgt5",1989,50
"global","x29o9m2f2jyu",1989,50
"global","7o02i4n7ehs7",1989,30
"global","0s6r3am624v9",1993,20
"global","z11p6l4n3q9i",1991,300
"global","z11p6l4n3q9i",2001,75
"global","z11p6l4n3q9i",2002,53
"global","z11p6l4n3q9i",1998,75
"global","z11p6l4n3q9i",1979,2000
"global","z11p6l4n3q9i",2010,189
"global","kuh8jv25pfh9",1989,5
"global","kuh8jv25pfh9",1998,5
"global","eu8g36ce07i8",1989,10
"global","jbw5x9xst5hc",1976,5018
"global","jbw5x9xst5hc",2012,365
"global","jbw5x9xst5hc",2002,8500
"global","fn6gvj72t3gv",2004,6354
"global","fn6gvj72t3gv",2002,6983
"global","fn6gvj72t3gv",1976,22670
"global","fn6gvj72t3gv",2012,1708
"global","fn6gvj72t3gv",1995,11175
"global","fn6gvj72t3gv",2014,1718
"global","agux16va6dj8",1989,9000
"global","agux16va6dj8",2002,1125
"global","agux16va6dj8",1977,3300
"global","agux16va6dj8",2005,35
"global","agux16va6dj8",2000,15
"global","735q974wj596",2002,625
"global","203agjd708lm",2002,850
"global","203agjd708lm",2014,105
"global","06kzly31jl86",2002,625
"global","06kzly31jl86",2013,21
"global","002l61113umj",1992,6000
"global","002l61113umj",2005,3000
"global","v9156643jmx6",2002,1000
"global","k6q242khr662",1995,6339
"global","k6q242khr662",2011,1701
"global","k6q242khr662",2000,3808
"global","k6q242khr662",1989,6730
"global","k6q242khr662",2006,3288
"global","6i919d5k2161",2011,5
"global","6i919d5k2161",2002,1750
"global","o7vs3zv54fzx",1989,6330
"global","o7vs3zv54fzx",1979,18000
"global","o7vs3zv54fzx",2004,1186
"global","o7vs3zv54fzx",2003,12500
"global","68514eb7xn6j",2008,500
"global","68514eb7xn6j",2002,1375
"global","68514eb7xn6j",1989,8000
"global","j6kembyydz37",2002,1500
"global","o5u20f5o638b",2003,64
"global","o5u20f5o638b",2010,347
