"site","year","survey_area"
"35l45reua3h6",1963,1321
"u5aqq75407q1",1963,1180
"3vo02p9y9ffo",1963,1908
"j102tfx4c9mo",1963,1883
"r648fq8q089n",1963,2740
"ca91g2y2wwk6",1963,2639
"53qv184358za",1963,5040
"5kc5x457o117",1963,4170
"wc6we80j6544",1963,1143
"8es4645kr4gr",1963,420
"em60bf5343m5",1963,1204
"zls7397e8m8o",1963,880
"16r4i43f662z",1963,217
"3339g0472107",1963,192
"2z5klzwk3k99",1963,560
"18dppfz2i120",1963,806
"u68u42np4465",1963,82
"zcw4g21o36f9",1963,2290
"xgub5puczime",1963,600
"0537rny37gz6",1963,5500
"0556un4m3g49",1963,17600
"22g8th7d50e8",1963,4000
"51706ev253of",1963,756
"i2b9y2drxhm5",1963,426
"09g38vp0z2qb",1963,2330
"qkm6n7u8o41h",1963,3678
"xj1r97odyg26",1963,374
"k9g932455y2g",1963,364
"41vh67u8385s",1963,748
"d5760qivd98z",1963,882
"8l160r6404m7",1963,884
"m50240h34uvz",1963,5260
"1ze1418x81ei",1963,1250
"fhl9016ob03f",1963,1985
"3kxbnr33m7sc",1963,6006
"g984yu1j5zx5",1963,1433
"vib7m5kh8y3x",1963,1425
"1dfcb7sbt3t0",1963,850
"d90nxj74e72n",1963,676
"8115pqw0ogge",1963,9242
"57k7tjh3vl6x",1963,1815
"4676n6ba3qxm",1963,633
"z8z1qpk0qk36",1963,2425
"f725d6f62pzr",1963,5792
"ttts416x5ioc",1963,1029
"0821465515t8",1963,1587
"d3yx7bog6pa8",1963,11415
"3u3w2f883m45",1963,7275
"31ns772n9co7",1963,4219
"0b3701448318",1963,445
"0l7fisr39q0b",1963,5051
"jumbw071d31e",1963,2515
"16zb00uelhio",1963,4228
"nl1gn396xl3b",1963,2290
"fl4q7a7y1651",1963,1457
"31132j36z358",1963,2669
"q0cnnphn8ucw",1963,883
"1352q8810qw5",1963,16186
"891r763nq7xp",1963,3962
"666622o5g4yx",1963,14539
"ch33895eoc06",1963,1025
"t1gy3dr85r9m",1963,135
"1056xr4o5vx4",1963,200
"ji7dh8f166ew",1963,389
"6spks962dfbc",1963,88
"494hcl8rbg10",1963,11500
"r4216y035uqn",1963,126
"tbe46625pq0l",1963,389
"84uhn1sw2459",1963,536
"q6i3opp2o0lg",1963,2229
"86nl4u660a0g",1963,600
"2l53f826lw93",1963,1300
"3466337108kw",1963,1024
"nhn4k20y8685",1963,213
"cy2t2p5ku5y3",1963,1000
"k2hob96or1xd",1963,340
"c92t434xce75",1963,950
"ope75n9qdgc0",1963,515
"257u2d7rkgt5",1963,1056
"x29o9m2f2jyu",1963,945
"7o02i4n7ehs7",1963,1338
"0s6r3am624v9",1963,1698
"z11p6l4n3q9i",1963,3500
"kuh8jv25pfh9",1963,4
"eu8g36ce07i8",1963,380
"jbw5x9xst5hc",1963,9550
"fn6gvj72t3gv",1963,5000
"agux16va6dj8",1963,6600
"735q974wj596",1963,62414
"203agjd708lm",1963,122444
"06kzly31jl86",1963,72532
"002l61113umj",1963,10800
"v9156643jmx6",1963,32006
"k6q242khr662",1963,30000
"6i919d5k2161",1963,68453
"o7vs3zv54fzx",1963,36000
"68514eb7xn6j",1963,32000
"j6kembyydz37",1963,141048
"o5u20f5o638b",1963,8000
"l25exhu5j9i7",1963,1200
"09680u023648",1963,2042
"v3ogx04043ac",1963,1332
"98x22lv066yg",1963,4339
"hzdh918cprfw",1963,2365
"4h63685kc676",1963,10485
"b2huj5q5t28g",1963,3475
"zia82cw5bt7w",1963,2337
"x6j4wy8t8wz9",1963,1510
"6p6vc267o414",1963,5000
"4t71ww4n7586",1963,1682
"s6wmj58ce90f",1963,161
"i852if25lrtj",1963,9320
"5129ei1960x0",1963,609
"hdn85b70kf54",1963,2083
"3q01nrz9822t",1963,473
"6cpvx44vhjp0",1963,2020
"1r99jy3bf6o2",1963,378
"m51l48808xe6",1963,1061
"wxfp73368jiy",1963,4967
"5so61rjzasn2",1963,509
"8kiy959ayfa8",1963,189
"606pev106w96",1963,290
"cdgr703l7mzw",1963,195
"x1w2518zrr85",1963,3478
"jg4xu2yj7fb1",1963,2035
"08f58395bhkj",1963,347
"ilio248tl8v3",1963,4840
"50w8a528op5f",1963,1370
"m8zf4xk6095m",1963,1123
"9216mrg2orhd",1963,330
"9dn36ky54w8k",1963,1342
"b0986hc4vyy0",1963,1292
"8d50vfn08hi0",1963,130
"m98hr8mmn2p3",1963,430
"76iy0v2rg8i8",1963,2200
"5ryc6k02kkg6",1963,118
"tst584cfwi14",1963,239
"47k779797v3p",1963,283
"00zcgv6jrcky",1963,3924
"3422k4623g46",1963,1082
"6zj9591uj3nz",1963,871
"7t50qpx10e9r",1963,145
"e6e13fq529cr",1963,8260
"1159650094c4",1963,349
"7q9yysibwb36",1963,242
"1h654omg67r3",1963,461
"wzp930i54o8h",1963,300
"a59y7028phh1",1963,2169
"03yd0j2b7130",1963,130
"29bw7237el28",1963,3054
"08mjw6fx2qqi",1963,591
"93u9od2a9syk",1963,2600
"9fbl7x679697",1963,6700
"27xww2xh0yzp",1963,7000
"ji4hk9m4hj2d",1963,150
"j5s7l5c3743m",1963,3500
"f1x4ukdmwo7h",1963,4212
"u55ah941v1z9",1963,6994
"94740528agpu",1963,4800
"ayz065u7wo83",1963,4212
"2e0ma211p8l4",1963,1130
"08nrxyuxh3c4",1963,6031
"lksyha5v2s0o",1963,3160
"2449l04zeqli",1963,2000
"t16x09x9ol5k",1963,2400
"2u479a744o5w",1963,372
"0az2r176azy5",1963,1643
"6s0019l1h0r0",1963,1180
"1rm798tfkum2",1963,43623
"1a9rcpr6u7rr",1963,100
"isc1b9fy0945",1963,4616
"4mk7j74td073",1963,12475
"an1eo75f3ld9",1963,43
"s13td774qip8",1963,1802
"bwbku0n34v40",1963,1789
"3ny7zy5kain7",1963,7500
"b8zl5x4j9oq1",1963,50437
"y84xnagk0rsb",1963,596
"usbxis950lek",1963,6348
"ba529w1ib4od",1963,2088
"73g7hn60hr2j",1963,3780
"z113e030098b",1963,750
"s7355652kox4",1963,1065
"8v511c0fj94l",1963,844
"00566d88v1pc",1963,1083
"0dsk5526gxt6",1963,2000
"3fn5z2e5ls8g",1963,42
"ogbmv834hxyj",1963,5050
"om99m3vpsn60",1963,2197
"jbjqx1aqhipe",1963,310
"80iaejc3l928",1963,1477
"e19h205f1216",1963,105
"37784u8v714e",1963,200
